"Nombre d'incendies suivant les critères de sélection : 2541"
"Critères de sélection =>";"Date de première alerte, de : 2025-01-01 00:00:00";"Date de première alerte, jusqu'à : 2025-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Type de peuplement";Nature;"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Précision de la donnée"
2025;398;"04";"04151";"Pierrerue";"2025-03-06 14:20:00";200;200;0;0;0;0;;;;;"Estimées";;"Involontaire (particulier)";"Non";;;;""
2025;7599;"11";"11201";"Leuc";"2025-03-06 14:55:00";500;500;0;0;0;0;;;;;"Mesurées";"3";"Involontaire (travaux)";"Non";;;;""
2025;399;"04";"04047";"Champtercier";"2025-03-06 14:58:00";2100;1800;0;300;0;0;;;;;"Mesurées";;"Malveillance";;;;;"Données partielles ou non valides"
2025;12749;"73";"73004";"Aillon-le-Jeune";"2025-03-06 15:01:00";10000;10000;;0;0;0;;;;;"Mesurées";;;"Non";;;;""
2025;15858;"33";"33229";"Lanton";"2025-03-06 17:23:00";200;200;;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";;;;""
2025;331;"05";"05061";"Gap";"2025-03-06 17:34:00";571;571;0;0;0;0;;;;;"Estimées";"5";"Involontaire (travaux)";"Non";;;;""
2025;435;"06";"06136";"Sospel";"2025-03-06 19:11:00";996900;814800;181500;0;0;600;;;;;"Mesurées";;"Malveillance";"Non";;;;""
2025;434;"06";"06023";"Breil-sur-Roya";"2025-03-06 23:07:00";684400;684400;0;0;0;0;;;;;"Mesurées";;"Malveillance";"Non";;;;""
2025;700;"56";"56136";"Monteneuf";"2025-03-07 03:18:00";7000;7000;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;13870;"09";"09100";"Couflens";"2025-03-07 10:49:00";30000;30000;;0;0;0;;;;;"Mesurées";;;"Non";;;;"Données partielles ou non valides"
2025;15994;"33";"33376";"Saint-Aubin-de-Médoc";"2025-03-07 16:54:00";16000;16000;;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";;;;""
2025;21766;"48";"48137";"Saint-Bauzile";"2025-03-07 21:00:00";51;51;0;0;0;0;;;;;"Estimées";"1";"Involontaire (travaux)";;;;;"Données partielles ou non valides"
2025;18561;"40";"40268";"Saint-Laurent-de-Gosse";"2025-03-08 01:36:00";658000;70000;;586000;0;2000;;;;;"Mesurées";;;"Non";;;;""
2025;18956;"84";"84144";"Viens";"2025-03-08 14:55:59";600;600;;;;;;;;;"Estimées";;;"Non";;;;""
2025;11149;"72";"72231";"Parigné-l'Évêque";"2025-03-08 15:21:00";20;20;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;22362;"52";"52130";"Cirfontaines-en-Azois";"2025-03-08 15:49:00";116600;116600;;0;0;0;;;;;"Estimées";;;"Non";;;;""
2025;1168;"74";"74280";"Thônes";"2025-03-08 16:08:00";1;1;;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";;;;""
2025;18285;"24";"24495";"Saint-Romain-de-Monpazier";"2025-03-08 18:44:00";123000;123000;;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";;;;""
2025;18286;"24";"24080";"Capdrot";"2025-03-08 19:06:00";10000;10000;;0;0;0;;;;;"Estimées";;"Accidentelle";"Non";;;;""
2025;18633;"38";"38366";"Saint-Baudille-et-Pipet";"2025-03-08 19:25:00";3500;3500;;0;0;0;;;;;"Estimées";;;"Non";0;0;0;""
2025;350;"06";"06069";"Grasse";"2025-03-08 20:54:00";500;0;500;0;0;0;;;;;"Estimées";"3";"Involontaire (particulier)";"Non";;;;""
2025;1170;"74";"74224";"La Roche-sur-Foron";"2025-03-08 21:30:00";100;100;;0;0;0;;;;;"Estimées";;"Involontaire (travaux)";"Non";;;;""
